branch	branch_descendants	Turdus_merula	Cataponera_turdoides	Turdus_niveiceps_NRM569330	Tp_mindorensis_AMNH575605	Turdus_pallidus_UWBM75229	Turdus_celaenops_NRM90188019	Turdus_chrysolaus_orii_UWBM83174	Turdus_feae_BMNH1905910913	Turdus_obscurus_UWBM78352	Tp_sspunknown_FMNH358378	Tp_thomassoni_AMNH416872	Tp_mayonensis_ZMUC02632	Tp_nigrorum_ZMUC138023	Tp_sspunknown_CMCB36870	Tp_malindangensis_ZMUC141794	Tp_deningeri_ZMUC148358	Tp_katanglad_ZMUC138022	Tp_seebohmi_AMNH575639	Tp_kelleri_ZMUC141795	Tp_sspunknown_CMCB37307	Tp_stresemanni_RMNH81993	Tp_erythropleurus_AMNH768697	Tp_erythropleurus_AMNH338105	Tp_versteegi_AMNH340312	Tp_whiteheadi_AMNH575625	Tp_sterlingi_AMNH345801	Tp_schlegelii_AMNH345779	Tp_celebensis_AMNH299444	Tp_hygroscopus_AMNH12571	Tp_papuensis_ZMUC150143	Tp_beehleri_USNM584915	Tp_bougainvillei_AMNH226224	Tp_papuensis_ZMUC192303	Tp_papuensis_AMNH19847	Tp_tolokiwae_AMNH836154	Tp_heinrothi_AMNH575398	Tp_javanicus_AMNH575611	Tp_fumidus_NRM569331	Tp_indrapurae_AMNH575637	Tp_loeseri_YPM41020	Tp_kulambangrae_AMNH215	Tp_sladeni_AMNH22868	Tp_rennellianus_AMNH6594	Tp_whitneyi_AMNH21512	Tp_placens_AMNH21538	Tp_xanthopus_AMNH575554	Tp_albifrons_AMNH336537	Tp_efatensis_AMNH21349	Tp_efatensis_AMNH213129	Tp_pritzbueri_RMNH146375	Tp_mareensis_AMNH575490	Tp_becki_AMNH213163	Tp_vinitinctus_AMNH575436	Tp_poliocephalus_AMNH454235	Tp_pritzbueri_AMNH336817	Tp_sspunknown_AMNH336962	Tp_malekulae_AMNH216313	Tp_hades_AMNH223922	Tp_samoensis_AMNH206154	Tp_samoensis_AMNH206897	Tp_malekulae_AMNH21367	Tp_malekulae_AMNH214424	Tp_becki_AMNH213123	Tp_becki_AMNH213130	Tp_becki_AMNH213136	Tp_ruficeps_AMNH252598	Tp_placens_AMNH216295	Tp_tempesti_AMNH252562	Tp_vanikorensis_AMNH214400	Tp_vitiensis_AMNH223923	Tp_vanikorensis_AMNH214440	Tp_vanikorensis_AMNH214427	Tp_layardi_AMNH252626	Tp_layardi_AMNH252636	Tp_layardi_AMNH252627	Tp_layardi_AMNH252655
b12	Turdus_feae_BMNH1905910913,Turdus_obscurus_UWBM78352	nan	0	0	0	nan	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b13	Turdus_pallidus_UWBM75229	nan	0.0156378	0.0131086	0.0464943	nan	0.0554499	0.0728986	nan	nan	0.051445	0.0526113	0.0505669	0.0503881	0.0536801	0.0498273	0.0496254	0.0498134	0.0484205	0.0493048	0.0527286	0.049389	0.0492961	0.049751	0.0486977	0.0491548	0.0496072	0.0502641	0.0488507	0.0499824	0.0517508	0.0500466	0.0511968	0.0520898	0.05004	0.0499948	0.0506185	0.0490399	0.0508112	0.0501117	0.0485961	0.0503597	0.0505215	0.0504469	0.0519322	0.0499714	0.0501942	0.0477059	0.0493553	0.0472433	0.0478699	0.0485875	0.0471115	0.0486502	0.0496217	0.0474616	0.0484159	0.0480156	0.0494401	0.0489981	0.0488816	0.0497633	0.0483852	0.0478447	0.0470291	0.0479752	0.0496649	0.0493736	0.0495594	0.0500049	0.0492144	0.0490174	0.0487603	0.0491867	0.0493442	0.0495262	0.0492077
b14	Turdus_celaenops_NRM90188019	nan	0	0	0	0	nan	nan	0	0	0.0145116	0.0159937	0.0116329	0.0121653	0.011754	0.0137878	0.015779	0.0127691	0.0146357	0	0.0116663	0.0145879	0.0186055	0.0178567	0.0133192	0.01594	0.0149497	0.0157671	0.017518	0.0175019	0	0	0.0126119	0	0.0133781	0	0.012884	0.0154937	0.0140025	0.0136954	0.0164891	0	0	0	0	0	0	0.0121772	0	0.0127314	0.0123369	0.0127429	0.013959	0.0137039	0.0131141	0	0	0.0138487	0	0.0123094	0	0	0.014054	0.0142969	0.0124988	0.0132553	0.0124498	0.0138034	0	0	0	0.0139233	0.0121975	0.0122755	0	0	0
b15	Turdus_chrysolaus_orii_UWBM83174	nan	0	0	0	0.0272985	nan	nan	0.0121575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b16	Tp_sspunknown_FMNH358378,Tp_thomassoni_AMNH416872,Tp_mayonensis_ZMUC02632	nan	0	0	0	0	0	0	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b17	Tp_nigrorum_ZMUC138023,Tp_sspunknown_CMCB36870,Tp_malindangensis_ZMUC141794,Tp_katanglad_ZMUC138022,Tp_kelleri_ZMUC141795,Tp_sspunknown_CMCB37307,Tp_erythropleurus_AMNH768697,Tp_erythropleurus_AMNH338105,Tp_sterlingi_AMNH345801,Tp_schlegelii_AMNH345779,Tp_celebensis_AMNH299444,Tp_hygroscopus_AMNH12571,Tp_seebohmi_AMNH575639,Tp_stresemanni_RMNH81993,Tp_whiteheadi_AMNH575625,Tp_javanicus_AMNH575611,Tp_fumidus_NRM569331,Tp_indrapurae_AMNH575637,Tp_loeseri_YPM41020,Tp_deningeri_ZMUC148358,Tp_versteegi_AMNH340312,Tp_papuensis_ZMUC150143,Tp_papuensis_ZMUC192303,Tp_papuensis_AMNH19847,Tp_beehleri_USNM584915,Tp_tolokiwae_AMNH836154,Tp_heinrothi_AMNH575398,Tp_bougainvillei_AMNH226224,Tp_kulambangrae_AMNH215,Tp_sladeni_AMNH22868,Tp_rennellianus_AMNH6594,Tp_efatensis_AMNH21349,Tp_efatensis_AMNH213129,Tp_becki_AMNH213163,Tp_malekulae_AMNH214424,Tp_becki_AMNH213123,Tp_becki_AMNH213130,Tp_becki_AMNH213136,Tp_mareensis_AMNH575490,Tp_malekulae_AMNH216313,Tp_malekulae_AMNH21367,Tp_placens_AMNH216295,Tp_vanikorensis_AMNH214400,Tp_vanikorensis_AMNH214440,Tp_vanikorensis_AMNH214427,Tp_whitneyi_AMNH21512,Tp_placens_AMNH21538,Tp_albifrons_AMNH336537,Tp_pritzbueri_RMNH146375,Tp_pritzbueri_AMNH336817,Tp_sspunknown_AMNH336962,Tp_xanthopus_AMNH575554,Tp_vinitinctus_AMNH575436,Tp_poliocephalus_AMNH454235,Tp_samoensis_AMNH206154,Tp_samoensis_AMNH206897,Tp_hades_AMNH223922,Tp_ruficeps_AMNH252598,Tp_tempesti_AMNH252562,Tp_vitiensis_AMNH223923,Tp_layardi_AMNH252626,Tp_layardi_AMNH252636,Tp_layardi_AMNH252627,Tp_layardi_AMNH252655	nan	0	0	0	0	0	0	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b18	Turdus_feae_BMNH1905910913	nan	0	0	0	0	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b19	Turdus_obscurus_UWBM78352	nan	0.0206401	0.0197974	0.0177249	0.0380562	0.0380603	0.0321404	nan	nan	0.0212324	0.0207698	0.0241869	0.0219914	0.0227177	0.0201733	0.0249993	0.023399	0.0210345	0.0203881	0.0234794	0.0235435	0.0209413	0.019905	0.0263211	0.0244287	0.0187283	0.0202979	0.0230805	0.0261268	0.0279007	0.026224	0.0255558	0.0285779	0.0263285	0.0254659	0.0237326	0.0227678	0.0250436	0.0241523	0.0241503	0.0271244	0.0264781	0.0265219	0.0273014	0.0262426	0.0252086	0.0247948	0.0278864	0.0247505	0.0237561	0.0231104	0.023741	0.0240758	0.0247097	0.0238967	0.0249137	0.0245509	0.0244604	0.0249479	0.0245368	0.0266215	0.0234998	0.023937	0.0238229	0.0236894	0.0247903	0.024006	0.0235692	0.0240273	0.0246331	0.0231977	0.0237907	0.0242486	0.0243261	0.0244761	0.025536
b20	Tp_thomassoni_AMNH416872,Tp_mayonensis_ZMUC02632	nan	0	0	0	0	0	0	0	0	nan	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b21	Tp_sspunknown_FMNH358378	nan	0.0182903	0.017183	0.0185667	0.0150761	0.0150533	0.0167018	0.0155908	0.016087	nan	nan	nan	0.0182704	0.0164619	0.0136728	0.0169897	0.0132072	0	0.00944331	0.0143186	0	0.0107544	0.0117127	0.0147159	0.00979822	0.0115995	0.0115342	0.0119632	0.0131628	0.0153726	0.0152204	0.0134852	0.0149062	0.0165025	0.0154448	0.0154542	0.0109358	0.0122846	0.0115101	0	0.0141058	0.0139027	0.0139948	0.01353	0.0129617	0.0130355	0.013598	0.0146976	0.0138531	0.0134748	0.0138743	0.0132291	0.0146059	0.013865	0.0133157	0.0136507	0.0135566	0.0144031	0.0136166	0.0131269	0.0129223	0.0127544	0.0127664	0.0123345	0.0128242	0.0127221	0.0128223	0.0129928	0.0128278	0.0132889	0.0133392	0.0134982	0.0127543	0.0144324	0.0130952	0.0131734
